,Title,Genre,Network,Summary
0,Voice (Season 3),"['thriller', 'investigation', 'crime']",OCN,This drama is 3rd Season of Voice Series.It’s following the lives of 112 emergency call center and dispatch team as they fight against an international evil cartel involved in the internet’s dark web.
1,Save Me (Season 2),"['thriller', 'action', 'crime']",OCN,This drama is based on the Korean manhwa/webtoon “세상 밖으로 / Out of the World” by Jo Geum San (조금산) which was published from 2011-June-21 to 2013-Jan-16 via “comic.daum.com“. It’s the second season of Save Me (Season 1).The story begin when residents in a small town fall into a state of chaos due to the presence of a false religious group.
2,The Secret Life of My Secretary,"['comedy', 'business', 'romantic']",SBS,"This drama is about A cold-hearted boss of a mobile media company finding his true identity and finally starting to respect people after losing his sight.Do Min Ik (Kim Young Kwang) works as a director of the mobile media 1 team at T&amp;T. He is smart and excellent at his job. His secretary is Jung Gal Hee (Jin Ki Joo). Do Min Ik often does childish things like calling Jung Gal Hee continually. Jung Gal Hee carries out Do Min Ik’s orders without complaints. She looks soft, but she hides her tough side."
3,Abyss,"['law', 'comedy', 'romantic', 'fantasy']",tvN,Go Se Yun (Park Bo Young) is a beautiful prosecution lawyer and Cha Min (Ahn Hyo Sup)is an unattractive successor of a cosmetics company who are both revived with different looks through an abyss after they died in an accident. They start working at the same law firm while looking for the reason of their revival.
4,Different Dreams,"['medical', 'historical', 'action', 'melodrama', 'war']",MBC,This is a pre-produced drama.The story takes place in Kyungsung (South Korea) and Shanghai (China) during the Japanese colonial rule of Korea. Lee Young Jin (Lee Yo Won) is a Korean surgeon who was raised by a Japanese family. She becomes a spy for the Korean government.
5,Mung Bean Flower,['historical'],SBS,This drama tells the story of two half-brothers from separate mothers but share the same father who both fight on opposite sides in the Battle of Ugeumchi that took place in 1894 during the Donghak Peasant Revolution.
6,My First First Love,"['children', 'romantic']",Netflix,"Due to various personal reasons, a group of Yun Tae Oh (Ji Soo)’s friends move into his house, where they experience love, friendship, and everything in between."
7,Her Private Life,"['comedy', 'romantic']",tvN,"This drama is based on novel “누나팬닷컴 / Nuna Paen Datkom” by Kim Sung Yeon which was published on 2007-April-10 by Yeowoobi.Sung Duk Mi (Park Min Young) is a talented curator who is also a fan of an idol group member named Shi-An. Meanwhile, Ryan Gold (Kim Jae Wook) becomes the new director at the gallery she works at and slowly falls in love with her."
8,I Hate Going to Work,"['comedy', 'human', 'business']",KBS2,A slice-of-life office drama about people who don’t want to go to work that will resonate with everyday office workers.
9,Special Labor Inspector Jo,"['comedy', 'action']",MBC,It follows the story of a civil servant who is appointed as a labor inspector in the Ministry of Employment and Labor.
10,Beautiful World,"['family', 'melodrama']",jTBC,"This drama tells the story of a boy who becomes critically injured due to an incident of school violence and his family who seeks the truth and fights for justice in his name.Park Moo Jin (Park Hee Soon) and Kang In Ha (Choo Ja Hyun) are a married couple. Park Moo Jin works as a high school teacher and Kang In Ha runs a bakery. They enjoy their lives with their children. Their peaceful days soon turn into a hellish experience. Their son, who is in the 3rd grade of middle school, is seriously injured due to school violence. Park Moo Jin and Kang In Ha try to reveal the truth.Meanwhile, Oh Jin Pyo (Oh Man Suk) and Seo Eun Joo (Jo Yeo Jung) are a married couple. They are both from wealthy families. Oh Jin-Pyo is the chairman of a private school foundation inherited from his family. They have never experienced failure or lacked anything. They have a son who makes trouble. The parents coverup for their son’s misbehavior."
11,My Fellow Citizens,"['comedy', 'crime']",KBS2,"This drama tells the story of a con man, who gets involved with unexpected incidents, marries a police officer and somehow ends up running to become a member of the National Assembly."
12,The Banker,['drama'],MBC,"This drama is based on the Japanese manga “Kansayaku Nozaki Shuhei” which was written by “Ryouka Shuu” and illustrated by “Shigeru Noda” from 1998 to 2002.It’s tell the story of a bank auditor pursues justice and policy changes at a time when an economic bubble is collapsing. No Dae Ho (Kim Sang Joong) is an honest and sincere man. He works as a branch manager of Daehan Bank which is located in a small city. The branch is on a soon to be shutdown list. Surprisingly, No Dae Ho is promoted to an auditor at the bank’s headquarters in Seoul. No Dae Ho then faces corruption at the bank."
13,Eulachacha Waikiki (Season 2),['comedy'],jTBC,"This drama depicts the friendships, love and dreams of young people. It’s the second season of popular sitcom “Eulachacha Waikiki (season 1)”.Lee Joon Ki (Lee Yi Kyung) is an unpopular actor. He runs the guest house Waikiki, but the guest house is facing bankruptcy. To revive the guest house, Lee Joon Ki drags his friends Cha Woo Sik (Kim Sun Ho) and Kook Ki Bong (Shin Hyun Soo), who all graduated from the same high school, to invest in the guest house.Cha Woo Sik is a picky person and he wants to become a singer. Due to Lee Joon Ki, he puts all his money into Waikiki. Kook Ki Bong used to be a promising baseball player, but he now plays in the minor leagues. Due to Lee Joon Ki, he also puts all his money into Waikiki. Along with these 3 men, Han Soo Yeon (Moon Ga Young), Kim Jung Eun (Ahn So Hee) and Cha Yoo Ri (Kim Ye Won) all begin to live at Waikiki."
